
***************************************************************************
                         EOV koordinátajegyzék
***************************************************************************

P.szám                   Y             X           h                kód       dátum        idõ
1507                 650133.902   238538.073     113.953        --------   2018.10.11   16:06:10
1508                 650133.903   238538.072     113.956        --------   2018.10.11   16:06:11
1509                 650133.903   238538.074     113.963        --------   2018.10.11   16:06:12
1510                 650133.904   238538.076     113.970        --------   2018.10.11   16:06:13
1511                 650133.903   238538.076     113.964        --------   2018.10.11   16:06:14
1512                 650133.904   238538.077     113.960        --------   2018.10.11   16:06:15
1513                 650133.903   238538.077     113.959        --------   2018.10.11   16:06:16
1514                 650133.905   238538.077     113.961        --------   2018.10.11   16:06:17
1515                 650133.901   238538.075     113.966        --------   2018.10.11   16:06:18
1516                 650133.903   238538.076     113.968        --------   2018.10.11   16:06:19
1517                 650133.903   238538.075     113.961        --------   2018.10.11   16:06:20
1518                 650133.904   238538.074     113.959        --------   2018.10.11   16:06:21
1519                 650133.904   238538.075     113.958        --------   2018.10.11   16:06:22
1520                 650133.903   238538.075     113.958        --------   2018.10.11   16:06:23
1521                 650133.905   238538.070     113.950        --------   2018.10.11   16:06:24
1522                 650133.903   238538.078     113.957        --------   2018.10.11   16:06:25
1523                 650133.906   238538.075     113.949        --------   2018.10.11   16:06:26
1524                 650133.901   238538.074     113.954        --------   2018.10.11   16:06:27
1525                 650133.905   238538.072     113.952        --------   2018.10.11   16:06:28
1526                 650133.905   238538.074     113.952        --------   2018.10.11   16:06:29
1527                 650133.902   238538.074     113.953        --------   2018.10.11   16:06:30
1528                 650133.905   238538.078     113.955        --------   2018.10.11   16:06:31
1529                 650133.905   238538.077     113.955        --------   2018.10.11   16:06:32
1530                 650133.905   238538.077     113.961        --------   2018.10.11   16:06:33
1531                 650133.904   238538.074     113.960        --------   2018.10.11   16:06:34
1532                 650133.904   238538.076     113.954        --------   2018.10.11   16:06:35
1533                 650133.905   238538.076     113.946        --------   2018.10.11   16:06:36
1534                 650133.902   238538.075     113.952        --------   2018.10.11   16:06:37
1535                 650133.903   238538.074     113.951        --------   2018.10.11   16:06:38
1536                 650133.905   238538.076     113.953        --------   2018.10.11   16:06:39
1537                 650133.906   238538.076     113.956        --------   2018.10.11   16:06:40
1538                 650133.906   238538.072     113.954        --------   2018.10.11   16:06:41
1539                 650133.903   238538.076     113.947        --------   2018.10.11   16:06:42
1540                 650133.903   238538.074     113.950        --------   2018.10.11   16:06:43
1541                 650133.903   238538.075     113.954        --------   2018.10.11   16:06:44
1542                 650133.905   238538.077     113.955        --------   2018.10.11   16:06:45
1543                 650133.904   238538.078     113.949        --------   2018.10.11   16:06:46
1544                 650133.903   238538.077     113.946        --------   2018.10.11   16:06:47
1545                 650133.903   238538.074     113.936        --------   2018.10.11   16:06:48
1546                 650133.906   238538.073     113.938        --------   2018.10.11   16:06:49
1547                 650133.904   238538.075     113.938        --------   2018.10.11   16:06:50
1548                 650133.903   238538.078     113.930        --------   2018.10.11   16:06:51
1549                 650133.901   238538.076     113.931        --------   2018.10.11   16:06:52
1550                 650133.902   238538.078     113.924        --------   2018.10.11   16:06:53
1551                 650133.906   238538.076     113.929        --------   2018.10.11   16:06:54
1552                 650133.904   238538.076     113.926        --------   2018.10.11   16:06:55
1553                 650133.904   238538.073     113.928        --------   2018.10.11   16:06:56
1554                 650133.905   238538.075     113.936        --------   2018.10.11   16:06:57
1555                 650133.906   238538.073     113.936        --------   2018.10.11   16:06:58
1556                 650133.904   238538.077     113.939        --------   2018.10.11   16:06:59
1557                 650133.905   238538.077     113.944        --------   2018.10.11   16:06:60
1558                 650133.903   238538.075     113.943        --------   2018.10.11   16:07:01
1559                 650133.902   238538.078     113.934        --------   2018.10.11   16:07:02
1560                 650133.903   238538.081     113.943        --------   2018.10.11   16:07:03
1561                 650133.903   238538.080     113.947        --------   2018.10.11   16:07:04
1562                 650133.902   238538.079     113.947        --------   2018.10.11   16:07:05
1563                 650133.900   238538.082     113.947        --------   2018.10.11   16:07:06
1564                 650133.902   238538.080     113.939        --------   2018.10.11   16:07:07
1565                 650133.901   238538.078     113.949        --------   2018.10.11   16:07:08
1566                 650133.900   238538.082     113.946        --------   2018.10.11   16:07:09
1567                 650133.903   238538.079     113.955        --------   2018.10.11   16:07:10
1568                 650133.904   238538.078     113.951        --------   2018.10.11   16:07:11
1569                 650133.903   238538.075     113.952        --------   2018.10.11   16:07:12
1570                 650133.903   238538.080     113.953        --------   2018.10.11   16:07:13
1571                 650133.905   238538.077     113.958        --------   2018.10.11   16:07:14
1572                 650133.903   238538.074     113.959        --------   2018.10.11   16:07:15
1573                 650133.902   238538.077     113.951        --------   2018.10.11   16:07:16
1574                 650133.903   238538.079     113.956        --------   2018.10.11   16:07:17
1575                 650133.900   238538.073     113.943        --------   2018.10.11   16:07:18
1576                 650133.903   238538.076     113.941        --------   2018.10.11   16:07:19
1577                 650133.904   238538.076     113.939        --------   2018.10.11   16:07:20
1578                 650133.902   238538.077     113.938        --------   2018.10.11   16:07:21
1579                 650133.903   238538.078     113.936        --------   2018.10.11   16:07:22
1580                 650133.904   238538.077     113.937        --------   2018.10.11   16:07:23
1581                 650133.902   238538.085     113.939        --------   2018.10.11   16:07:24
1582                 650133.903   238538.079     113.934        --------   2018.10.11   16:07:25
1583                 650133.899   238538.084     113.943        --------   2018.10.11   16:07:26
1584                 650133.902   238538.078     113.946        --------   2018.10.11   16:07:27
1585                 650133.900   238538.078     113.943        --------   2018.10.11   16:07:28
1586                 650133.903   238538.075     113.948        --------   2018.10.11   16:07:29
1587                 650133.902   238538.076     113.951        --------   2018.10.11   16:07:30
1588                 650133.902   238538.076     113.958        --------   2018.10.11   16:07:31
1589                 650133.902   238538.077     113.954        --------   2018.10.11   16:07:32
1590                 650133.904   238538.076     113.957        --------   2018.10.11   16:07:33
1591                 650133.905   238538.078     113.953        --------   2018.10.11   16:07:34
1592                 650133.902   238538.077     113.954        --------   2018.10.11   16:07:35
1593                 650133.903   238538.081     113.956        --------   2018.10.11   16:07:36
1594                 650133.903   238538.081     113.959        --------   2018.10.11   16:07:37
1595                 650133.903   238538.077     113.960        --------   2018.10.11   16:07:38
1596                 650133.904   238538.075     113.955        --------   2018.10.11   16:07:39
1597                 650133.903   238538.076     113.961        --------   2018.10.11   16:07:40
1598                 650133.903   238538.076     113.959        --------   2018.10.11   16:07:41
1599                 650133.904   238538.073     113.954        --------   2018.10.11   16:07:42
1600                 650133.903   238538.075     113.951        --------   2018.10.11   16:07:43
1601                 650133.903   238538.076     113.953        --------   2018.10.11   16:07:44
1602                 650133.901   238538.078     113.951        --------   2018.10.11   16:07:45
1603                 650133.898   238538.075     113.959        --------   2018.10.11   16:07:46
1604                 650133.900   238538.079     113.948        --------   2018.10.11   16:07:47
1605                 650133.901   238538.078     113.952        --------   2018.10.11   16:07:48
1606                 650133.905   238538.069     113.955        --------   2018.10.11   16:07:49
1607                 650133.902   238538.076     113.951        --------   2018.10.11   16:07:50
1608                 650133.905   238538.076     113.950        --------   2018.10.11   16:07:51
1609                 650133.903   238538.076     113.956        --------   2018.10.11   16:07:52
1610                 650133.902   238538.072     113.954        --------   2018.10.11   16:07:53
1611                 650133.904   238538.071     113.945        --------   2018.10.11   16:07:54
1612                 650133.900   238538.076     113.948        --------   2018.10.11   16:07:55
1613                 650133.901   238538.074     113.947        --------   2018.10.11   16:07:56
1614                 650133.903   238538.076     113.941        --------   2018.10.11   16:07:57
1615                 650133.902   238538.076     113.944        --------   2018.10.11   16:07:58
1616                 650133.903   238538.075     113.937        --------   2018.10.11   16:07:59
1617                 650133.901   238538.074     113.925        --------   2018.10.11   16:08:00
1618                 650133.902   238538.074     113.923        --------   2018.10.11   16:08:01
1619                 650133.902   238538.072     113.924        --------   2018.10.11   16:08:02
1620                 650133.901   238538.072     113.922        --------   2018.10.11   16:08:03
1621                 650133.903   238538.066     113.922        --------   2018.10.11   16:08:04
1622                 650133.901   238538.076     113.914        --------   2018.10.11   16:08:05
1623                 650133.903   238538.076     113.920        --------   2018.10.11   16:08:06
1624                 650133.902   238538.075     113.926        --------   2018.10.11   16:08:07
1625                 650133.901   238538.070     113.931        --------   2018.10.11   16:08:08
1626                 650133.904   238538.073     113.925        --------   2018.10.11   16:08:09
1627                 650133.901   238538.080     113.927        --------   2018.10.11   16:08:10
1628                 650133.903   238538.081     113.939        --------   2018.10.11   16:08:11
1629                 650133.901   238538.080     113.948        --------   2018.10.11   16:08:12
1630                 650133.901   238538.072     113.943        --------   2018.10.11   16:08:13
1631                 650133.901   238538.074     113.938        --------   2018.10.11   16:08:14
1632                 650133.904   238538.075     113.940        --------   2018.10.11   16:08:15
1633                 650133.901   238538.075     113.946        --------   2018.10.11   16:08:16
1634                 650133.902   238538.072     113.947        --------   2018.10.11   16:08:17
1635                 650133.900   238538.075     113.946        --------   2018.10.11   16:08:18
1636                 650133.900   238538.076     113.945        --------   2018.10.11   16:08:19
1637                 650133.898   238538.075     113.942        --------   2018.10.11   16:08:20
1638                 650133.899   238538.076     113.934        --------   2018.10.11   16:08:21
